,subj,handedness,finger,hand,dominant_hand,time_bin,taps_bin
517,86,right,pinky,right,True,4,48
518,86,right,pinky,right,True,5,47
519,87,left,index,left,True,0,53
520,87,left,index,left,True,1,46
521,87,left,index,left,True,2,47
522,87,left,index,left,True,3,64
523,87,left,index,left,True,4,54
524,87,left,index,left,True,5,52
525,88,right,index,left,False,0,73
526,88,right,index,left,False,1,61
527,88,right,index,left,False,2,70
528,88,right,index,left,False,3,65
529,88,right,index,left,False,4,74
530,88,right,index,left,False,5,68
531,89,right,index,left,False,0,55
532,89,right,index,left,False,1,52
533,89,right,index,left,False,2,49
534,89,right,index,left,False,3,59
535,89,right,index,left,False,4,58
536,89,right,index,left,False,5,54
537,90,right,index,left,False,0,59
538,90,right,index,left,False,1,51
539,90,right,index,left,False,2,52
540,90,right,index,left,False,3,48
541,90,right,index,left,False,4,48
542,90,right,index,left,False,5,46
543,91,right,index,right,True,0,61
544,91,right,index,right,True,1,59
545,91,right,index,right,True,2,63
546,91,right,index,right,True,3,58
547,91,right,index,right,True,4,62
548,91,right,index,right,True,5,57
549,92,right,index,right,True,0,70
550,92,right,index,right,True,1,64
551,92,right,index,right,True,2,59
552,92,right,index,right,True,3,55
553,92,right,index,right,True,4,54
554,92,right,index,right,True,5,52
555,93,right,index,right,True,0,93
556,93,right,index,right,True,1,92
557,93,right,index,right,True,2,79
558,93,right,index,right,True,3,81
559,93,right,index,right,True,4,75
560,93,right,index,right,True,5,80
561,94,right,pinky,right,True,0,77
562,94,right,pinky,right,True,1,72
563,94,right,pinky,right,True,2,70
564,94,right,pinky,right,True,3,67
565,94,right,pinky,right,True,4,62
566,94,right,pinky,right,True,5,61
567,95,right,index,left,False,0,64
568,95,right,index,left,False,1,55
569,95,right,index,left,False,2,56
570,95,right,index,left,False,3,53
571,95,right,index,left,False,4,54
572,95,right,index,left,False,5,56
573,96,right,pinky,left,False,0,61
574,96,right,pinky,left,False,1,56
575,96,right,pinky,left,False,2,54
576,96,right,pinky,left,False,3,50
577,96,right,pinky,left,False,4,47
578,96,right,pinky,left,False,5,46
579,97,left,index,left,True,0,63
580,97,left,index,left,True,1,62
581,97,left,index,left,True,2,60
582,97,left,index,left,True,3,58
583,97,left,index,left,True,4,57
584,97,left,index,left,True,5,55
585,98,right,index,left,False,0,61
586,98,right,index,left,False,1,52
587,98,right,index,left,False,2,49
588,98,right,index,left,False,3,50
589,98,right,index,left,False,4,47
590,98,right,index,left,False,5,46
591,99,right,index,right,True,0,76
592,99,right,index,right,True,1,67
593,99,right,index,right,True,2,64
594,99,right,index,right,True,3,59
595,99,right,index,right,True,4,67
596,99,right,index,right,True,5,54
597,100,right,index,right,True,0,62
598,100,right,index,right,True,1,60
599,100,right,index,right,True,2,57
600,100,right,index,right,True,3,57
601,100,right,index,right,True,4,56
602,100,right,index,right,True,5,55
